fileId,fileUrls from query VNP46A3--5000 2016-01-01..2021-01-01 x-74y41.1 x-73.4y40.4[5],size
6075849484,/archive/allData/5000/VNP46A3/2016/001/VNP46A3.A2016001.h10v04.001.2021125023815.h5,37492039
6075873314,/archive/allData/5000/VNP46A3/2016/032/VNP46A3.A2016032.h10v04.001.2021125030530.h5,38229248
6076283564,/archive/allData/5000/VNP46A3/2016/061/VNP46A3.A2016061.h10v04.001.2021125092427.h5,32699942
6076466979,/archive/allData/5000/VNP46A3/2016/092/VNP46A3.A2016092.h10v04.001.2021125120737.h5,27069996
6076829478,/archive/allData/5000/VNP46A3/2016/122/VNP46A3.A2016122.h10v04.001.2021125164502.h5,21362730
6076888481,/archive/allData/5000/VNP46A3/2016/153/VNP46A3.A2016153.h10v04.001.2021125175243.h5,16799744
6076910068,/archive/allData/5000/VNP46A3/2016/183/VNP46A3.A2016183.h10v04.001.2021125181900.h5,19286601
6077790640,/archive/allData/5000/VNP46A3/2016/245/VNP46A3.A2016245.h10v04.001.2021126113057.h5,18068432
6077817558,/archive/allData/5000/VNP46A3/2016/275/VNP46A3.A2016275.h10v04.001.2021126125541.h5,21092296
6077918753,/archive/allData/5000/VNP46A3/2016/306/VNP46A3.A2016306.h10v04.001.2021126145311.h5,23141541
6078165591,/archive/allData/5000/VNP46A3/2016/336/VNP46A3.A2016336.h10v04.001.2021126164123.h5,34253913
6075886906,/archive/allData/5000/VNP46A3/2017/032/VNP46A3.A2017032.h10v04.001.2021125031430.h5,36100706
6076080482,/archive/allData/5000/VNP46A3/2017/060/VNP46A3.A2017060.h10v04.001.2021125065343.h5,37408639
6076358958,/archive/allData/5000/VNP46A3/2017/091/VNP46A3.A2017091.h10v04.001.2021125100540.h5,29016855
6076837780,/archive/allData/5000/VNP46A3/2017/121/VNP46A3.A2017121.h10v04.001.2021125164859.h5,22835755
6076897437,/archive/allData/5000/VNP46A3/2017/152/VNP46A3.A2017152.h10v04.001.2021125175934.h5,16626399
6076920395,/archive/allData/5000/VNP46A3/2017/182/VNP46A3.A2017182.h10v04.001.2021125182316.h5,18659353
6076994046,/archive/allData/5000/VNP46A3/2017/213/VNP46A3.A2017213.h10v04.001.2021125192138.h5,19774616
6077792783,/archive/allData/5000/VNP46A3/2017/244/VNP46A3.A2017244.h10v04.001.2021126113353.h5,18725754
6077817484,/archive/allData/5000/VNP46A3/2017/274/VNP46A3.A2017274.h10v04.001.2021126131030.h5,20283448
6077947043,/archive/allData/5000/VNP46A3/2017/305/VNP46A3.A2017305.h10v04.001.2021126151203.h5,24944774
6078193266,/archive/allData/5000/VNP46A3/2017/335/VNP46A3.A2017335.h10v04.001.2021126165930.h5,39533070
6075663501,/archive/allData/5000/VNP46A3/2018/001/VNP46A3.A2018001.h10v04.001.2021124232629.h5,42364771
6075896269,/archive/allData/5000/VNP46A3/2018/032/VNP46A3.A2018032.h10v04.001.2021125033238.h5,36987407
6076099486,/archive/allData/5000/VNP46A3/2018/060/VNP46A3.A2018060.h10v04.001.2021125070735.h5,37622244
6076366865,/archive/allData/5000/VNP46A3/2018/091/VNP46A3.A2018091.h10v04.001.2021125101408.h5,31162176
6076856137,/archive/allData/5000/VNP46A3/2018/121/VNP46A3.A2018121.h10v04.001.2021125172115.h5,21007045
6076919887,/archive/allData/5000/VNP46A3/2018/152/VNP46A3.A2018152.h10v04.001.2021125182554.h5,16992886
6076978884,/archive/allData/5000/VNP46A3/2016/214/VNP46A3.A2016214.h10v04.001.2021125191729.h5,20093296
6076939202,/archive/allData/5000/VNP46A3/2018/182/VNP46A3.A2018182.h10v04.001.2021125183847.h5,18593243
6077795289,/archive/allData/5000/VNP46A3/2018/244/VNP46A3.A2018244.h10v04.001.2021126113950.h5,18115536
6077000471,/archive/allData/5000/VNP46A3/2018/213/VNP46A3.A2018213.h10v04.001.2021125193731.h5,19862339
6075884901,/archive/allData/5000/VNP46A3/2017/001/VNP46A3.A2017001.h10v04.001.2021125031850.h5,36833283
6077827412,/archive/allData/5000/VNP46A3/2018/274/VNP46A3.A2018274.h10v04.001.2021126133550.h5,21951376
6078222985,/archive/allData/5000/VNP46A3/2018/335/VNP46A3.A2018335.h10v04.001.2021126172208.h5,35387217
6078062957,/archive/allData/5000/VNP46A3/2018/305/VNP46A3.A2018305.h10v04.001.2021126153231.h5,30982059
6075954269,/archive/allData/5000/VNP46A3/2019/032/VNP46A3.A2019032.h10v04.001.2021125042746.h5,38270495
6075685021,/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h10v04.001.2021124234346.h5,39015476
6076110019,/archive/allData/5000/VNP46A3/2019/060/VNP46A3.A2019060.h10v04.001.2021125071616.h5,38325526
6076870728,/archive/allData/5000/VNP46A3/2019/121/VNP46A3.A2019121.h10v04.001.2021125173957.h5,21140214
6077004372,/archive/allData/5000/VNP46A3/2019/182/VNP46A3.A2019182.h10v04.001.2021125194252.h5,19296204
6077000474,/archive/allData/5000/VNP46A3/2019/152/VNP46A3.A2019152.h10v04.001.2021125193933.h5,16722574
6076367076,/archive/allData/5000/VNP46A3/2019/091/VNP46A3.A2019091.h10v04.001.2021125101754.h5,27766795
6077088268,/archive/allData/5000/VNP46A3/2019/213/VNP46A3.A2019213.h10v04.001.2021125205539.h5,21389874
6077795441,/archive/allData/5000/VNP46A3/2019/244/VNP46A3.A2019244.h10v04.001.2021126114252.h5,21279259
6078103666,/archive/allData/5000/VNP46A3/2019/305/VNP46A3.A2019305.h10v04.001.2021126161016.h5,32017476
6078416027,/archive/allData/5000/VNP46A3/2019/274/VNP46A3.A2019274.h10v04.001.2021126191823.h5,19205640
6078258119,/archive/allData/5000/VNP46A3/2019/335/VNP46A3.A2019335.h10v04.001.2021126174613.h5,36342825
6075695422,/archive/allData/5000/VNP46A3/2020/001/VNP46A3.A2020001.h10v04.001.2021124235853.h5,35955228
6076373309,/archive/allData/5000/VNP46A3/2020/032/VNP46A3.A2020032.h10v04.001.2021125102344.h5,35572591
6076138116,/archive/allData/5000/VNP46A3/2020/061/VNP46A3.A2020061.h10v04.001.2021125073344.h5,31672536
6076808274,/archive/allData/5000/VNP46A3/2020/122/VNP46A3.A2020122.h10v04.001.2021125162506.h5,20145816
6076379890,/archive/allData/5000/VNP46A3/2020/092/VNP46A3.A2020092.h10v04.001.2021125102635.h5,25657383
6077112829,/archive/allData/5000/VNP46A3/2020/183/VNP46A3.A2020183.h10v04.001.2021125210638.h5,17140498
6077117680,/archive/allData/5000/VNP46A3/2020/153/VNP46A3.A2020153.h10v04.001.2021125210357.h5,14871275
6077124857,/archive/allData/5000/VNP46A3/2020/214/VNP46A3.A2020214.h10v04.001.2021125211750.h5,18100370
6077798033,/archive/allData/5000/VNP46A3/2020/245/VNP46A3.A2020245.h10v04.001.2021126114838.h5,17166754
6078425160,/archive/allData/5000/VNP46A3/2020/336/VNP46A3.A2020336.h10v04.001.2021126192248.h5,30710871
6078265526,/archive/allData/5000/VNP46A3/2020/275/VNP46A3.A2020275.h10v04.001.2021126175114.h5,21235916
6078337629,/archive/allData/5000/VNP46A3/2020/306/VNP46A3.A2020306.h10v04.001.2021126183147.h5,21226029
6115407035,/archive/allData/5000/VNP46A3/2021/001/VNP46A3.A2021001.h10v04.001.2021144021814.h5,39406187
