NAME_0,NAME_1,sum,mean,min,max,yrqtr,filename
United States,Connecticut,206960.8125,2.57966065406799,0,126,2020Q3,processed_2020Q3.tif
United States,Massachusetts,387418.84375,2.95282888412476,0,300,2020Q3,processed_2020Q3.tif
United States,New York,978567.9375,1.13838541507721,0,277,2020Q3,processed_2020Q3.tif
